timestamp,cpu_total_pct,mem_avail_mb,gpu_util_pct,gpu_mem_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_power_w,gpu_temp_c,gpu_clock_graphics_mhz,gpu_clock_sm_mhz
"2026-03-16T16:43:50.4990745-03:00","7,40414170480486","23334","0","4","788","12282","4.63","39","210","210"
"2026-03-16T16:43:53.0562557-03:00","6,94205761644953","23332","0","5","788","12282","4.62","39","210","210"
"2026-03-16T16:43:55.6110800-03:00","8,36605356060181","23333","0","3","788","12282","4.64","39","210","210"
"2026-03-16T16:43:58.1685130-03:00","7,50911244143238","23330","0","6","788","12282","4.63","39","210","210"
"2026-03-16T16:44:00.7268048-03:00","6,21275995742375","23336","9","4","789","12282","4.80","39","210","210"
"2026-03-16T16:44:03.2768335-03:00","6,42055588404776","23327","0","3","790","12282","4.78","39","210","210"
"2026-03-16T16:44:05.8325214-03:00","7,28015457065816","23330","0","3","790","12282","4.71","39","210","210"
"2026-03-16T16:44:08.3910431-03:00","8,01877318074025","23328","0","3","790","12282","4.69","39","210","210"
"2026-03-16T16:44:10.9462772-03:00","6,89464000519315","23329","0","3","790","12282","4.65","39","210","210"
"2026-03-16T16:44:13.5012602-03:00","8,02593307472224","23316","0","3","790","12282","4.62","39","210","210"
"2026-03-16T16:44:16.0563680-03:00","7,25870628435784","23317","0","3","790","12282","4.89","39","210","210"
"2026-03-16T16:44:18.6219705-03:00","7,88143069978554","23314","0","3","790","12282","4.60","39","210","210"
"2026-03-16T16:44:21.1776128-03:00","6,99464301552986","23314","0","3","790","12282","4.63","39","210","210"
"2026-03-16T16:44:23.7306847-03:00","7,27084598365059","23311","0","3","790","12282","4.58","39","210","210"
"2026-03-16T16:44:26.2842157-03:00","6,1719189386275","23311","0","3","790","12282","4.56","39","210","210"
"2026-03-16T16:44:28.8422370-03:00","7,73790404767399","23311","0","3","790","12282","4.63","39","210","210"
"2026-03-16T16:44:31.3994250-03:00","6,54840801885626","23310","0","3","790","12282","4.60","39","210","210"
"2026-03-16T16:44:33.9544956-03:00","8,0635451932113","23309","0","3","790","12282","4.63","39","210","210"
"2026-03-16T16:44:36.5155037-03:00","7,61863094684423","23309","0","3","790","12282","4.62","39","210","210"
"2026-03-16T16:44:39.0742120-03:00","7,18499051403985","23271","0","3","790","12282","4.54","39","210","210"
"2026-03-16T16:44:41.6298549-03:00","6,89297906300622","23269","0","3","790","12282","4.62","39","210","210"
"2026-03-16T16:44:44.1853749-03:00","7,99067771439147","23268","0","3","790","12282","4.65","39","210","210"
"2026-03-16T16:44:46.7434045-03:00","8,12043908691669","23350","0","4","790","12282","4.59","39","210","210"
"2026-03-16T16:44:49.3000862-03:00","8,29741047350422","23383","0","3","790","12282","4.64","39","210","210"
"2026-03-16T16:44:51.8571132-03:00","8,07048296636873","23383","0","3","790","12282","4.58","39","210","210"
"2026-03-16T16:44:54.4143564-03:00","7,89740679683385","23385","0","3","790","12282","4.58","39","210","210"
"2026-03-16T16:44:56.9698629-03:00","8,00481248827419","23382","0","3","790","12282","4.66","39","210","210"
"2026-03-16T16:44:59.5243448-03:00","6,37188441485647","23381","0","3","790","12282","4.80","39","210","210"
"2026-03-16T16:45:02.0994347-03:00","7,49462620655122","23386","0","3","790","12282","4.62","39","210","210"
"2026-03-16T16:45:04.6617574-03:00","7,79021033676019","23384","0","2","790","12282","4.77","39","210","210"
"2026-03-16T16:45:07.2210355-03:00","12,6371289268676","23387","0","3","789","12282","4.74","39","210","210"
"2026-03-16T16:45:09.7985855-03:00","13,3379438343449","23386","0","3","789","12282","4.64","39","210","210"
"2026-03-16T16:45:12.3764010-03:00","13,1398902071532","23387","0","5","789","12282","4.67","39","210","210"
"2026-03-16T16:45:14.9326498-03:00","12,3315962480859","23387","0","3","789","12282","4.75","39","210","210"
"2026-03-16T16:45:17.5058788-03:00","13,5809247069392","23389","0","3","789","12282","4.74","39","210","210"
"2026-03-16T16:45:20.0827795-03:00","13,7027573107754","23388","0","3","789","12282","4.75","39","210","210"
"2026-03-16T16:45:22.6407279-03:00","13,8722689588594","23390","0","3","789","12282","4.76","39","210","210"
"2026-03-16T16:45:25.1954054-03:00","13,4641949375731","23389","0","3","789","12282","4.73","39","210","210"
"2026-03-16T16:45:27.7526999-03:00","12,8872972176628","23390","0","3","789","12282","4.71","39","210","210"
"2026-03-16T16:45:30.3128384-03:00","13,3963735152056","23389","0","3","789","12282","4.65","39","210","210"
"2026-03-16T16:45:32.8706464-03:00","12,6746822501331","23390","0","3","789","12282","4.66","39","210","210"
"2026-03-16T16:45:35.4418358-03:00","12,6614368005239","23389","0","3","789","12282","4.64","39","210","210"
"2026-03-16T16:45:37.9975587-03:00","13,6903907469997","23389","0","3","789","12282","4.70","39","210","210"
"2026-03-16T16:45:40.5560508-03:00","12,2851603014984","23389","0","3","789","12282","4.70","39","210","210"
"2026-03-16T16:45:43.1142586-03:00","13,968875292188","23389","0","3","789","12282","4.68","39","210","210"
"2026-03-16T16:45:45.6727749-03:00","14,5240894676234","23388","0","5","789","12282","4.78","39","210","210"
"2026-03-16T16:45:48.2268578-03:00","13,0957791226465","23388","0","3","789","12282","4.74","39","210","210"
"2026-03-16T16:45:50.7866566-03:00","13,5408686021585","23389","0","3","789","12282","4.66","39","210","210"
"2026-03-16T16:45:53.3440773-03:00","14,0661866380111","23390","0","3","789","12282","4.65","39","210","210"
"2026-03-16T16:45:55.9012194-03:00","18,0087720299374","23399","0","2","789","12282","4.90","39","210","210"
"2026-03-16T16:45:58.4686304-03:00","25,9766711192892","23393","0","18","789","12282","4.79","39","210","210"
"2026-03-16T16:46:01.0230778-03:00","26,3463979542124","23397","0","5","789","12282","4.68","39","210","210"
"2026-03-16T16:46:03.6024878-03:00","26,1399934531108","23395","0","4","789","12282","4.67","39","210","210"
"2026-03-16T16:46:06.1645793-03:00","25,7149836725408","23396","0","3","789","12282","4.67","39","210","210"
"2026-03-16T16:46:08.7301599-03:00","26,2986398001983","23396","0","3","789","12282","4.66","39","210","210"
"2026-03-16T16:46:11.3066571-03:00","24,7684668129974","23394","0","6","789","12282","4.59","39","210","210"
"2026-03-16T16:46:13.8676325-03:00","25,4422749661475","23404","0","4","789","12282","4.71","39","210","210"
"2026-03-16T16:46:16.4326791-03:00","26,1918941391201","23404","0","3","789","12282","4.67","39","210","210"
"2026-03-16T16:46:18.9844065-03:00","26,3716866345732","23403","0","3","789","12282","4.62","39","210","210"
"2026-03-16T16:46:21.5496894-03:00","25,5241372320338","23402","0","5","789","12282","4.64","39","210","210"
